            Zeit	 pressure_Vacuum
               s	            mbar
     2047.750000	      922.323425
     2047.755000	      922.327820
     2047.760000	      922.330322
     2047.765000	      922.330200
     2047.770000	      922.357666
     2047.775000	      922.341614
     2047.780000	      922.317383
     2047.785000	      922.337463
     2047.790000	      922.326294
     2047.795000	      922.302551
     2047.800000	      922.288635
     2047.805000	      922.263489
     2047.810000	      922.166809
     2047.815000	      921.984253
     2047.820000	      921.863770
     2047.825000	      921.662720
     2047.830000	      921.357971
     2047.835000	      920.886902
     2047.840000	      920.973022
     2047.845000	      921.112183
     2047.850000	      920.746216
     2047.855000	      920.909058
     2047.860000	      920.806274
     2047.865000	      920.766235
     2047.870000	      920.797119
     2047.875000	      920.466858
     2047.880000	      920.199402
     2047.885000	      919.818726
     2047.890000	      919.484375
     2047.895000	      919.102173
     2047.900000	      918.309631
     2047.905000	      918.244629
     2047.910000	      918.363159
     2047.915000	      918.244202
     2047.920000	      918.345093
     2047.925000	      918.249451
     2047.930000	      918.251404
     2047.935000	      918.201599
     2047.940000	      917.949646
     2047.945000	      917.572510
     2047.950000	      917.399719
     2047.955000	      917.335266
     2047.960000	      917.037537
     2047.965000	      917.190247
     2047.970000	      917.387207
     2047.975000	      917.127441
     2047.980000	      917.092896
     2047.985000	      917.292908
     2047.990000	      917.446533
     2047.995000	      917.375488
     2048.000000	      917.536133
     2048.005000	      917.724121
     2048.010000	      917.565430
     2048.015000	      917.578979
     2048.020000	      917.561951
     2048.025000	      917.794495
     2048.030000	      917.863647
     2048.035000	      917.888550
     2048.040000	      917.807007
     2048.045000	      917.396729
     2048.050000	      917.343079
     2048.055000	      917.091858
     2048.060000	      916.998474
     2048.065000	      917.031189
     2048.070000	      916.756653
     2048.075000	      916.229004
     2048.080000	      915.611572
     2048.085000	      915.654053
     2048.090000	      915.374084
     2048.095000	      914.549011
     2048.100000	      914.272278
     2048.105000	      914.401917
     2048.110000	      914.328979
     2048.115000	      914.095764
     2048.120000	      913.897034
     2048.125000	      913.878418
     2048.130000	      913.664368
     2048.135000	      913.327209
     2048.140000	      913.214233
     2048.145000	      913.338013
     2048.150000	      913.577881
     2048.155000	      913.273010
     2048.160000	      913.147278
     2048.165000	      913.366943
     2048.170000	      913.475708
     2048.175000	      913.549866
     2048.180000	      913.658875
     2048.185000	      913.900208
     2048.190000	      913.990479
     2048.195000	      914.028259
     2048.200000	      914.297546
     2048.205000	      914.258606
     2048.210000	      914.287537
     2048.215000	      914.439941
     2048.220000	      914.312561
     2048.225000	      914.387207
     2048.230000	      914.368713
     2048.235000	      914.318665
     2048.240000	      914.400208
     2048.245000	      914.343262
     2048.250000	      914.366760
     2048.255000	      914.367249
     2048.260000	      914.339661
     2048.265000	      914.357483
     2048.270000	      914.309509
     2048.275000	      914.328979
     2048.280000	      914.297668
     2048.285000	      914.295349
     2048.290000	      914.366211
     2048.295000	      914.347961
     2048.300000	      914.347839
     2048.305000	      914.392395
     2048.310000	      914.343567
     2048.315000	      914.299255
     2048.320000	      914.349121
     2048.325000	      914.378601
     2048.330000	      914.320496
     2048.335000	      914.345215
